eixo_responsavel,nome_responsavel,nome_acao,tipo_acao,data_acao,local_acao,municipio,publico_alvo,impactos_diretos,Tipo da ação.
Educação,,Oficina de Robótica Educacional - Maratoninha Maker (dia1),Oficina,30/01/2023,"Casarão tech - Renato Archer/Hibrido (online e presencial)
",São Luís,Professores,32,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de Robótica Educacional - Maratoninha Maker (dia 2),Oficina,31/01/2023,"Casarão tech - Renato Archer/Hibrido (online e presencial)
",São Luís,Professores,19,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de Robótica MAKER - FOFÃO - Maratoninha Maker,Oficina,10/02/2023,Casarão tech - Renato Archer,São Luís,Professores,16,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Visita tecnica e oficina de Robotica para alunos da UEMA,Oficina,12/02/2023,Locomotiva HUB,São Luís,Estudantes,18,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de robotica com o kit Mais Robotic,Oficina,01/07/2023,MULTICENTER SEBRAE/NEON dia 1,São Luís,Professores,15,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de Robótica - Construindo Carrinhos com Arduino,Oficina,01/07/2023,MULTICENTER SEBRAE/NEON dia 1,São Luís,Professores,12,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de metodologias ativas,Oficina,01/07/2023,MULTICENTER SEBRAE/NEON dia 1,São Luís,Professores,20,Oficina de Metodologias Ativas
Educação,,Oficina de metodologias ativas,Oficina,02/07/2023,MULTICENTER SEBRAE/NEON dia 2,São Luís,Professores,25,Oficina de Metodologias Ativas
Educação,,Oficina de Robótica Basica alunos manhã,Oficina,02/07/2023,MULTICENTER SEBRAE/NEON dia 2,São Luís,Estudantes,12,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de Robótica Basica alunos tarde,Oficina,02/07/2023,MULTICENTER SEBRAE/NEON dia 2,São Luís,Estudantes,15,Oficina de Robótica (Básica e/ou Avançada)
Educação,,2ª Oficina de Robótica MAKER - ROBOI - Maratoninha Maker,Oficina,07/07/2023,Locomotiva HUB,São Luís,Professores,13,Oficina de Robótica (Básica e/ou Avançada)
Educação,,3ª Oficina de Robótica MAKER - MATRAQUEIRO - Maratoninha Maker,Oficina,14/07/2023,Locomotiva HUB,São Luís,Professores,12,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de programação para mulheres do IFMA de Itapecuru,Oficina,28/07/2023,Locomotiva HUB,São Luís,Público Geral,15,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de robótica (JEMs),Oficina,01/08/2023,JEMS,São Luís,Estudantes,16,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de robótica (JEMs),Oficina,05/08/2023,JEMS,São Luís,Estudantes,18,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de robótica (JEMs),Oficina,08/08/2023,JEMS,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de robótica (JEMs),Oficina,14/08/2023,JEMS,São Luís,Estudantes,14,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de robótica com a escola UEB Jackson Lago,Oficina,03/08/2023,Locomotiva HUB,São Luís,Professores,16,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de robótica com a escola UEB Jackson Lago,Oficina,04/08/2023,Locomotiva HUB,São Luís,Professores,16,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de robótica básica com a escola Paulo VI,Oficina,22/08/2023,Escola Paulo VI,São Luís,Professores,20,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de robótica com alunos da APAE ,Oficina,24/08/2023,Locomotiva HUB,São Luís,Estudantes,10,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de games - Escola CE Uniao,Oficina,16/10/2023,SNCT 2023,Imperatriz,Professores,20,Oficina de Games
Educação,,Oficina de games,Oficina,17/10/2023,SNCT 2023,Imperatriz,Professores,16,Oficina de Games
Educação,,Oficina de games,Oficina,18/10/2023,SNCT 2023,Imperatriz,Professores,16,Oficina de Games
Educação,,Oficina de games,Oficina,19/10/2023,SNCT 2023,Imperatriz,Professores,23,Oficina de Games
Educação,,Oficina de robótica - Escola CE Uniao,Oficina,16/10/2023,SNCT 2023,Imperatriz,Professores,12,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de robótica básica,Oficina,17/10/2023,SNCT 2023,Imperatriz,Professores,18,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de robótica básica,Oficina,18/10/2023,SNCT 2023,Imperatriz,Professores,20,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de robótica básica,Oficina,19/10/2023,SNCT 2023,Imperatriz,Professores,20,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de robótica básica,Oficina,17/10/2023,SNCT 2023,Imperatriz,Professores,22,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de robótica básica,Oficina,18/10/2023,SNCT 2023,Imperatriz,Professores,16,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de robótica básica,Oficina,19/10/2023,SNCT 2023,Imperatriz,Professores,10,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Robótica básica ,Oficina,29/11/2023,estação tech Forquilha,São Luís,Professores,8,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de facilitadores para ministrar cursos de tecnologia,Oficina,01/12/2023,Remoto,"Santa Luzia do Paruá,Imperatriz,Cururupu,Primeira Cruz",Professores,4,Oficina
Educação,,Robótica básica ,Oficina,02/12/2023,estação tech Bacanga,São Luís,Professores,11,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de games,Oficina,02/12/2023,Estação Tech (Online),Santa Luzia do Paruá,Professores,10,Oficina de Games
Educação,,Oficina de games,Oficina,02/12/2023,Estação Tech (Online),Cururupu,Professores,10,Oficina de Games
Educação,,Oficina de games,Oficina,16/12/2023,Estação Tech (Online),Cururupu,Professores,10,Oficina de Games
Educação,,Oficina de Robótica Avançada,Oficina,29/04/2024,Estação Tech Forquilha,São Luís,Estudantes,40,Oficina de Robótica (Básica e/ou Avançada)
Educação,,Oficina de Robótica Avançada,Oficina,02/05/2024,Estação Tech Forquilha,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Avançada,Oficina,03/05/2024,Estação Tech Forquilha,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Avançada,Oficina,06/05/2024,Estação Tech Forquilha,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Avançada,Oficina,09/05/2024,Estação Tech Forquilha,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Avançada,Oficina,13/05/2024,Estação Tech Sol e Mar,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
